begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
00:36.9,00:40.5,0,,,,Wife_H02_AW,Wife_H02_AW,我一看到的时候..我的心里就有反应,Wǒ yī kàn dào de shíhòu.. wǒ de xīnlǐ jiù yǒu fǎnyìng.,When I saw it.. there would be a reaction in my heart.,camera,,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,有反应,up:isolated,一看到,monoglossic,,
00:40.5,00:50.5,0,,,,Voiceover,Voiceover,,,,,,,,,,,,,,,,,,,,,,,,,
00:50.5,00:56.9,0,,,,Wife_H02_AW,Wife_H02_AW,嗯我感觉..我要是我同学聚会的话..我不太去..因为我从这上面感到特别伤悲,Ń wǒ gǎnjué.. wǒ yàoshi wǒ tóngxué jùhuì de huà.. wǒ bù tài qù.. yīnwèi wǒ cóng zhè shàngmiàn gǎndào tèbié shāngbēi.,Well.. I feel that if I have a high schoolmate gathering.. I won’t go because I feel particularly sad from this.,camera,,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,伤悲,up:isolated,特别,expand:entertain,,
00:56.9,01:06.2,0,,,,Voiceover,Voiceover,,,,,,,,,,,,,,,,,,,,,,,,,
01:06.2,01:07.5,0,,,,Husband_H02_WH,Husband_H02_WH,我理解不了,Wǒ lǐjiě bù liǎo.,I can't understand.,camera,,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,,,,monoglossic,,
01:07.5,01:11.9,0,,,,,Husband_H02_WH,因为我感觉她现在与社会发展脱节了..感觉,Yīnwèi wǒ gǎnjué tā xiànzài yǔ shèhuì fāzhǎn tuōjié le.. gǎnjué.,Because I feel that she is now out of touch with social development.. I feel.,camera,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,,,,expand:entertain,,
01:11.9,01:24.2,0,,,,Voiceover,Voiceover,,,,,,,,,,,,,,,,,,,,,,,,,
01:24.2,01:26.1,0,,,,Husband_H02_WH,Husband_H02_WH,我挺压抑吧,Wǒ tǐng yāyì ba.,I am sort of depressed.,camera,,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,压抑,up:isolated,挺,expand:entertain,,
01:26.1,01:35.0,0,,,,,Husband_H02_WH,她认为和同学那个谈话啊..或者是接触谈话啊..对于她来说她认为那不正常,Tā rènwéi hé tóngxué nàge tánhuà a.. huòzhě shì jiēchù tánhuà a.. duìyú tā lái shuō tā rènwéi nà bù zhèngcháng.,She thinks that talking to my high schoolmates.. or is in contact with my high schoolmates.. For her.. she thinks that it is not normal.,camera,,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:other,,,,,expand:entertain,,
01:35.0,01:36.9,0,,,,,Husband_H02_WH,像她这样一直折腾多少回,Xiàng tā zhèyàng yīzhí zhēteng duōshǎo huí.. ,She's made a fuss like this for so many times,camera,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,,up:infused,,monoglossic,,
01:36.9,01:40.2,0,,,,,Husband_H02_WH,我感觉都没有..没有啥感情了都,wǒ gǎnjué dōu méiyǒu.. méiyǒu shá gǎnqíng le dōu.,I feel.. we have lost that loving feeling for each other.,camera,,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,没,down:isolated,啥,expand:entertain,,
01:40.2,01:54.5,0,,,,Voiceover,Voiceover,,,,,,,,,,,,,,,,,,,,,,,,,
02:11.9,02:17.5,1,,,,Hostess_H02,Hostess_H02,李先生和李女士..了解一下两位当事人的诉求,Lǐ xiānshēng hé Lǐ nǚshì.. liǎojiě yīxià liǎng wèi dāngshìrén de sùqiú.,Mr. Li and Ms. Li.. let us know the two participants’ requests,,,,,,,,,,,,,,,,,,,,,,
02:17.5,02:22.9,2,,,,Wife_H02_AW,Wife_H02_AW,我的诉求是让各位老师帮我..打开我一个心结,Wǒ de sùqiú shì ràng gèwèi lǎoshī bāng wǒ.. dǎkāi wǒ yī ge xīnjié.,My request is to let the teachers help me untie the knot in my heart.,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,irrealis,antagonist,心结,,,monoglossic,,
02:24.4,02:26.8,3,,I,S,Hostess_H02,Hostess_H02,这个心结跟什么有关,Zhè ge xīnjié gēn shénme yǒuguān,What is this knot related to,wife,,,,,,,,,,,,,,,,,,,,,
02:26.8,02:29.1,4,,,,Wife_H02_AW,Wife_H02_AW,跟他的同学聚会有关,Gēn tā de tóngxué jùhuì yǒuguān.,It is related to his high schoolmates gathering.,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,antagonist,,,,monoglossic,,
02:31.2,02:34.7,5,,I,S,Husband_H02_WH,Husband_H02_WH,我的诉求就是..主要是打开她的心结,Wǒ de sùqiú jiùshì.. zhǔyào shì dǎkāi tā de xīnjié.,My main appeal is to untie the knot in her heart.,hostess,,,,,,,,,,self,+ve,judgement,invoke,irrealis,,,,,monoglossic,,
02:34.7,02:38.6,5,,,,,Husband_H02_WH,一个是还给我一个个人的空间吧,Yī ge shì huán gěi wǒ yī ge gèrén de kōngjiān ba.,One is to give me a personal space.,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,irrealis,,,,,expand:entertain,,
02:38.6,02:43.4,5,,,,,Husband_H02_WH,我认为吧..夫妻空间和个人空间都得有,Wǒ rènwéi ba.. fūqī kōngjiān hé gèrén kōngjiān dōu děi yǒu.,I think that I need to have a space for husband and wife.. and a personal space.,hostess,,,,,,,,,,,,,,,,,,,,,
02:43.4,02:47.0,5,,,,,Husband_H02_WH,她把我个人的空间压到夫妻空间当中..,Tā bǎ wǒ gèrén de kōngjiān yā dào fūqī kōngjiān dāngzhōng..,She pressed my personal space into the husband and wife space.,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,metaphor,,空间,up:infused,压,expand:entertain,,
02:47.0,02:48.4,5,,,,,Husband_H02_WH,我感觉不合适,wǒ gǎnjué bù héshì.,I feel it's inappropriate.,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,,,,expand:entertain,,
02:51.1,02:53.7,6,,I,S,Hostess_H02,Hostess_H02,这个是跟她的心结有关吗,Zhè ge shì gēn tā de xīnjié yǒuguān ma,Is this related to her heart knot,husband,,,,,,,,,,,,,,,,,,,,,
02:53.7,02:55.2,7,,,,Husband_H02_WH,Husband_H02_WH,嗯..应该有关,Ń.. yīnggāi yǒuguān.,Well.. it should be relevant.,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,affirmation,,,,,monoglossic,,
02:55.2,02:58.1,7,,,,,Husband_H02_WH,就在同学聚会和同学聊天吧,Jiù zài tóngxué jùhuì hé tóngxué liáotiān ba.,It's about chat with high schoolmates and attending high schoolmate gatherings.,hostess,,,,,,,,,,,,,,,,,,,expand:entertain,,
03:00.2,03:15.0,7,,,,Voiceover,Voiceover,,,,,,,,,,,,,,,,,,,,,,,,,
03:15.0,03:20.8,8,,,,Husband_H02_WH,Husband_H02_WH,她在市场就是出摊的邻居吧..说了一句话..同学聚会这几个词..,Tā zài shìchǎng jiùshì chū tān de línjū ba.. shuō le yī jù huà.. tóngxué jùhuì zhè jǐ ge cí..,"She heard the phrase ""high schoolmate gathering"" from a neighbour vendor in the market.",hostess,,,,,,,,,,,,,,,,,,,expand:entertain,,
03:20.8,03:23.0,8,,,,,Husband_H02_WH,到家跟我生了场气,dàojiā gēn wǒ shēng le chǎng qì.,She came home and got angry with me.,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,observed,生气,up:isolated,场,monoglossic,,
03:23.1,03:25.3,9,,I,S,Hostess_H02,Hostess_H02,你说连这四个字都不能提,Nǐ shuō lián zhè sì ge zì dōu bùnéng tí,You mean that you can't even mention these words,husband,,,,,,,,,,,,,,,,,,,,,
03:25.3,03:30.9,10,,,,Husband_H02_WH,Husband_H02_WH,别人提了就那次因为别人说一个同学聚会..跟我开始生气,Biérén tí le. Jiù nà cì yīnwèi biérén shuō yī ge tóngxué jùhuì.. gēn wǒ kāishǐ shēngqì.,Even when someone else mentioned it.. Once because someone else talked about a high schoolmate gathering.. she started to get angry with me,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,observed,生气,up:isolated,提了,monoglossic,,
03:30.9,03:32.4,10,,,,,Husband_H02_WH,开始发飙,Kāishǐ fābiāo.,Started to blow up.,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,,up:infused,,monoglossic,,
